Month,Country,Value
01/08/06,Brazil,32
01/09/06,Brazil,16
01/10/06,Brazil,0
01/11/06,Brazil,0
01/12/06,Brazil,15
01/01/07,Brazil,27
01/02/07,Brazil,0
01/03/07,Brazil,11
01/04/07,Brazil,11
01/05/07,Brazil,19
01/06/07,Brazil,0
01/07/07,Brazil,19
01/08/07,Brazil,8
01/09/07,Brazil,0
01/10/07,Brazil,15
01/11/07,Brazil,0
01/12/07,Brazil,0
01/01/08,Brazil,8
01/02/08,Brazil,16
01/03/08,Brazil,14
01/04/08,Brazil,7
01/05/08,Brazil,7
01/06/08,Brazil,0
01/07/08,Brazil,14
01/08/08,Brazil,13
01/09/08,Brazil,0
01/10/08,Brazil,6
01/11/08,Brazil,13
01/12/08,Brazil,0
01/01/09,Brazil,0
01/02/09,Brazil,7
01/03/09,Brazil,0
01/04/09,Brazil,0
01/05/09,Brazil,5
01/06/09,Brazil,0
01/07/09,Brazil,16
01/08/09,Brazil,20
01/09/09,Brazil,10
01/10/09,Brazil,10
01/11/09,Brazil,16
01/12/09,Brazil,11
01/01/10,Brazil,0
01/02/10,Brazil,0
01/03/10,Brazil,5
01/04/10,Brazil,10
01/05/10,Brazil,0
01/06/10,Brazil,11
01/07/10,Brazil,0
01/08/10,Brazil,5
01/09/10,Brazil,5
01/10/10,Brazil,5
01/11/10,Brazil,14
01/12/10,Brazil,5
01/01/11,Brazil,5
01/02/11,Brazil,12
01/03/11,Brazil,8
01/04/11,Brazil,9
01/05/11,Brazil,8
01/06/11,Brazil,4
01/07/11,Brazil,8
01/08/11,Brazil,9
01/09/11,Brazil,5
01/10/11,Brazil,8
01/11/11,Brazil,9
01/12/11,Brazil,4
01/01/12,Brazil,3
01/02/12,Brazil,5
01/03/12,Brazil,3
01/04/12,Brazil,5
01/05/12,Brazil,6
01/06/12,Brazil,6
01/07/12,Brazil,7
01/08/12,Brazil,6
01/09/12,Brazil,6
01/10/12,Brazil,9
01/11/12,Brazil,8
01/12/12,Brazil,4
01/01/13,Brazil,4
01/02/13,Brazil,12
01/03/13,Brazil,4
01/04/13,Brazil,5
01/05/13,Brazil,4
01/06/13,Brazil,4
01/07/13,Brazil,5
01/08/13,Brazil,13
01/09/13,Brazil,8
01/10/13,Brazil,7
01/11/13,Brazil,1
01/12/13,Brazil,7
01/01/14,Brazil,6
01/02/14,Brazil,7
01/03/14,Brazil,5
01/04/14,Brazil,13
01/05/14,Brazil,2
01/06/14,Brazil,9
01/07/14,Brazil,7
01/08/14,Brazil,7
01/09/14,Brazil,12
01/10/14,Brazil,10
01/11/14,Brazil,3
01/12/14,Brazil,5
01/01/15,Brazil,15
01/02/15,Brazil,12
01/03/15,Brazil,3
01/04/15,Brazil,4
01/05/15,Brazil,6
01/06/15,Brazil,8
01/07/15,Brazil,5
01/08/15,Brazil,6
01/09/15,Brazil,8
01/10/15,Brazil,6
01/11/15,Brazil,5
01/12/15,Brazil,5
01/01/16,Brazil,7
01/02/16,Brazil,6
01/03/16,Brazil,16
01/04/16,Brazil,12
01/05/16,Brazil,20
01/06/16,Brazil,25
01/07/16,Brazil,16
01/08/16,Brazil,18
01/09/16,Brazil,17
01/10/16,Brazil,18
01/11/16,Brazil,10
01/12/16,Brazil,14
01/01/17,Brazil,19
01/02/17,Brazil,20
01/03/17,Brazil,15
01/04/17,Brazil,14
01/05/17,Brazil,8
01/06/17,Brazil,14
01/07/17,Brazil,12
01/08/17,Brazil,6
01/09/17,Brazil,8
01/10/17,Brazil,9
01/11/17,Brazil,8
01/12/17,Brazil,7
01/01/18,Brazil,8
01/02/18,Brazil,7
01/03/18,Brazil,7
01/04/18,Brazil,5
01/05/18,Brazil,10
01/06/18,Brazil,5
01/07/18,Brazil,9
01/08/18,Brazil,10
01/09/18,Brazil,6
01/10/18,Brazil,3
01/11/18,Brazil,5
01/12/18,Brazil,11
01/01/19,Brazil,2
01/02/19,Brazil,7
01/03/19,Brazil,7
01/04/19,Brazil,9
01/05/19,Brazil,9
01/06/19,Brazil,9
01/07/19,Brazil,11
01/08/19,Brazil,3
01/09/19,Brazil,5
01/10/19,Brazil,9
01/11/19,Brazil,4
01/12/19,Brazil,5
01/01/20,Brazil,6
01/02/20,Brazil,8
01/03/20,Brazil,14
01/04/20,Brazil,12
01/05/20,Brazil,16
01/06/20,Brazil,10
01/07/20,Brazil,8
01/08/20,Brazil,11
01/09/20,Brazil,7
01/10/20,Brazil,7
01/11/20,Brazil,9
01/12/20,Brazil,7
01/01/21,Brazil,10
01/02/21,Brazil,13
01/03/21,Brazil,11
01/04/21,Brazil,9
01/05/21,Brazil,4
01/06/21,Brazil,9
01/07/21,Brazil,6
01/08/21,Brazil,7
01/09/21,Brazil,6
01/10/21,Brazil,4
01/01/04,Colombia,0
01/02/04,Colombia,0
01/03/04,Colombia,0
01/04/04,Colombia,0
01/05/04,Colombia,0
01/06/04,Colombia,0
01/07/04,Colombia,0
01/08/04,Colombia,0
01/09/04,Colombia,0
01/10/04,Colombia,0
01/11/04,Colombia,0
01/12/04,Colombia,0
01/01/05,Colombia,0
01/02/05,Colombia,0
01/03/05,Colombia,0
01/04/05,Colombia,0
01/05/05,Colombia,0
01/06/05,Colombia,100
01/07/05,Colombia,0
01/08/05,Colombia,0
01/09/05,Colombia,0
01/10/05,Colombia,0
01/11/05,Colombia,78
01/12/05,Colombia,0
01/01/06,Colombia,0
01/02/06,Colombia,0
01/03/06,Colombia,0
01/04/06,Colombia,0
01/05/06,Colombia,0
01/06/06,Colombia,0
01/07/06,Colombia,0
01/08/06,Colombia,0
01/09/06,Colombia,0
01/10/06,Colombia,0
01/11/06,Colombia,0
01/12/06,Colombia,0
01/01/07,Colombia,0
01/02/07,Colombia,0
01/03/07,Colombia,32
01/04/07,Colombia,0
01/05/07,Colombia,0
01/06/07,Colombia,0
01/07/07,Colombia,0
01/08/07,Colombia,0
01/09/07,Colombia,22
01/10/07,Colombia,0
01/11/07,Colombia,42
01/12/07,Colombia,0
01/01/08,Colombia,0
01/02/08,Colombia,0
01/03/08,Colombia,0
01/04/08,Colombia,18
01/05/08,Colombia,18
01/06/08,Colombia,0
01/07/08,Colombia,18
01/08/08,Colombia,36
01/09/08,Colombia,17
01/10/08,Colombia,0
01/11/08,Colombia,0
01/12/08,Colombia,0
01/01/09,Colombia,0
01/02/09,Colombia,0
01/03/09,Colombia,0
01/04/09,Colombia,0
01/05/09,Colombia,15
01/06/09,Colombia,0
01/07/09,Colombia,0
01/08/09,Colombia,0
01/09/09,Colombia,0
01/10/09,Colombia,29
01/11/09,Colombia,15
01/12/09,Colombia,0
01/01/10,Colombia,0
01/02/10,Colombia,0
01/03/10,Colombia,0
01/04/10,Colombia,0
01/05/10,Colombia,0
01/06/10,Colombia,0
01/07/10,Colombia,0
01/08/10,Colombia,15
01/09/10,Colombia,30
01/10/10,Colombia,0
01/11/10,Colombia,0
01/12/10,Colombia,0
01/01/11,Colombia,6
01/02/11,Colombia,5
01/03/11,Colombia,5
01/04/11,Colombia,5
01/05/11,Colombia,5
01/06/11,Colombia,5
01/07/11,Colombia,5
01/08/11,Colombia,9
01/09/11,Colombia,0
01/10/11,Colombia,4
01/11/11,Colombia,5
01/12/11,Colombia,0
01/01/12,Colombia,5
01/02/12,Colombia,9
01/03/12,Colombia,12
01/04/12,Colombia,9
01/05/12,Colombia,0
01/06/12,Colombia,13
01/07/12,Colombia,13
01/08/12,Colombia,16
01/09/12,Colombia,12
01/10/12,Colombia,7
01/11/12,Colombia,4
01/12/12,Colombia,9
01/01/13,Colombia,20
01/02/13,Colombia,11
01/03/13,Colombia,20
01/04/13,Colombia,13
01/05/13,Colombia,3
01/06/13,Colombia,3
01/07/13,Colombia,10
01/08/13,Colombia,6
01/09/13,Colombia,3
01/10/13,Colombia,0
01/11/13,Colombia,3
01/12/13,Colombia,11
01/01/14,Colombia,3
01/02/14,Colombia,0
01/03/14,Colombia,8
01/04/14,Colombia,9
01/05/14,Colombia,11
01/06/14,Colombia,16
01/07/14,Colombia,3
01/08/14,Colombia,9
01/09/14,Colombia,11
01/10/14,Colombia,6
01/11/14,Colombia,0
01/12/14,Colombia,0
01/01/15,Colombia,0
01/02/15,Colombia,3
01/03/15,Colombia,0
01/04/15,Colombia,6
01/05/15,Colombia,3
01/06/15,Colombia,9
